dtiTransId,duration,batch,totalQueryWeight,CRDTHitAndMatch,MarketDataMakeKeyBreakdown,DtsQueryBreakdown,RemoteServiceQueueWC,RemoteServiceCacheWaitWC,CacheMissBreakdownInMemory,CacheHitBreakdownInMemory,CacheOverheadWallClock,CacheOverheadTimings,CacheMissBreakdownRedis,CacheHitBreakdownRedis,totalCacheHitOrWaits,totalCacheMisses,totalNumNonBatched,portfolio,portfolio2,portfolio3,portfolio4,portfolio5,riskmodel,addPositionsByHoldings,addPositionsByHoldingsWithoutAggregation,"create SinglePortfolioContext",createDatedPortfolioContext,"destroy DatedPortfolioContext","destroy SinglePortfolioContext","get Factor exposures",getAssetFactorRiskContributions,getAssetReturnsByBarraIdsWithPriority,getAssetReturnsByMarketIdsWithPriority,getFactorReturn,getFactorTree,getIndexLevelData,getLightPortfolioWithLastUpdated,getModelDescriptors,getPortfolioAttributeValues,"getPortfolioAttributes list",getPortfolioLastUpdated,"getPortfolioPositions with PositionsReportSpec",getPositionsWithTnC,getPriceHistoryByBarraIdWithPriority,getPriceHistoryByMarketIdsWithPriority,getReportDispatcherReport,searchPortfolioTree,"userAttributeRmiSvc getAttributeProperties","singlePortfolioContextRmiSvc getPortfolioInstrumentReturn"
"5ac24b93-edcb-4f20-b4c5-fb6e59982360",937,"Portfolio Summary",37860,"1238.492629","0.015585","25.484610","504.963239","885.704162","10.473561","80.993701","36.796455","256.362019","0.000000","0.000000",597722,306118,,247182424,NA,NA,NA,NA,NA,400,,400,400,400,400,,,,,,,,26,,,26,20,72,,,,,,,
"ea5309e4-f22b-48ff-b0d3-5057e256ca45",800,"Portfolio Summary",37860,"488.688112","1.891977","24.405478","411.014890","1171.526555","5.894179","75.297585","31.736976","215.992857","0.000000","0.000000",582542,231054,,247182424,NA,NA,NA,NA,NA,351,,351,351,351,351,,,,,,,,47,,,47,101,89,,,,,,,
"67565ba9-afdb-4b9e-bd11-6c0dd65284df",187,"Factor Exposure Distribution - L/S",316,"0.001140",0,"114.108314","0.000000","64.585978","0.000404","0.016974","0.468624","0.468759","0.000000","0.000000",3822,36,,177039988,NA,NA,NA,NA,USMEDS,17,,17,17,17,17,,,,,,,,,,,,,3,,,,,28,,
"6c6b335b-b4cf-4f14-9591-975203cb5605",187,"Factor Exposure Distribution - L/S",316,"0.000985",0,"57.345535","0.000000","131.363028","0.000237","0.012284","0.325926","0.325926","0.000000","0.000000",2863,18,,177039988,NA,NA,NA,NA,USMEDS,8,,8,8,8,8,,,,,,,,,,,,,,,,,,16,,
"94a2462c-8c71-4a5d-8a93-b181a193822b",214,"Factor Exposure Distribution - L/S",1738,"1.089212",0,"33.979617","0.000000","101.533940","0.029788","0.059247","4.569656","4.569979","0.000000","0.000000",12219,8708,,177039988,NA,NA,NA,NA,USMEDS,29,,29,29,29,29,,,,,,,,10,,,10,10,18,,,,,,,
"93c56a7b-3c91-4dbc-b814-b1e4ee8298f1",214,"Factor Exposure Distribution - L/S",1738,"1.338870",0,"31.293250","0.000000","115.554603","0.021441","0.078933","4.957212","4.957337","0.000000","0.000000",11892,7133,,177039988,NA,NA,NA,NA,USMEDS,27,,27,27,27,27,,,,,,,,8,,,8,8,16,,,,,,,
"2e1d3233-a028-4c5c-b9da-90083b9126aa",131,"Factor Risk Overview - L/S",NA,"0.000070",0,0,"0.000000","99.861235","0.001075","0.664131","0.372637","0.372637","0.000000","0.000000",5206,356,,177039988,NA,NA,NA,NA,USMEDS,1,,15,15,15,15,,,,,,,,,,,,,14,,,,,30,,
"6f0dcc7c-0af0-47cd-b4fb-8e47fe14a45c",117,"Factor Risk Overview",22935,"701.383915",0,"30.823265","0.000000","74.343634","0.213044","20.578060","13.267339","14.041596","0.000000","0.000000",93778,21664,,150034647,150034702,159079177,159079208,181133189,GEMLTL,13,,29,27,27,29,,,,,,,,1,,,1,7,12,,,,,50,,
"490b7962-d719-45a8-95b3-838a645bacf5",94,"Factor Risk Overview",21352,"2406.714912",0,"3.869421","15.527457","33.615731","0.458564","39.627594","19.961900","20.892469","0.000000","0.000000",177673,104553,,150034647,150034702,159079177,159079208,181133189,GEMLTL,151,,202,202,202,202,,,,,,,,1,,,1,,202,,,,,102,,
"c6f29989-86f5-46ae-aae7-50c55133dec2",90,"Factor Risk Overview",NA,"0.289119",0,0,"0.000000","78.226057","0.007083","0.387777","1.020606","1.020606","0.000000","0.000000",9574,2734,,150034647,150034702,159079177,159079208,181133189,GEMLTL,2,,4,4,4,4,,,,,,,,,,,,,4,,,,,4,,
"77c8394a-dbcf-445c-b759-7cf9e4a75bf4",92,"Portfolio Summary",21746,"2249.702546",0,"1.805697","3.197755","7.963055","0.196288","1.732274","13.153249","14.040274","0.000000","0.000000",135635,83256,,247182424,NA,NA,NA,NA,GEMLTL,24,,38,38,38,38,,,,,,,,22,,,22,22,38,,,,,28,,
"825feff4-33f6-4998-bfa1-17a8f593b981",102,"Factor Risk Overview - L/S",23418,"3571.675284","0.007849","7.173887","0.276280","52.440956","0.452847","13.174708","23.861943","42.974027","0.000000","0.000000",245375,119928,,177039988,NA,NA,NA,NA,USMEDS,,,47,47,47,47,,,,,,,,,,,,,47,,,,,94,,
"3d1976cc-43af-43f1-bb4c-4658cc1509bb",93,"Factor Risk Overview - L/S",21686,"290.058028","0.009645","2.377268","0.000000","35.478113","0.088196","4.730872","13.091756","13.095317","0.000000","0.000000",127649,46841,,177037139,NA,NA,NA,NA,EUTRD,,,23,23,23,23,,,,,,,,1,,,1,1,23,,,,,46,,
"504affb3-d423-4779-b776-3a72c0a546b5",807,"Factor Performance Attribution",128446,"3122.980841","0.024602","337.557364","366.245642","1023.200052","4.842158","163.629177","32.184253","107.269456","0.000000","0.000000",1154553,293318,,1020573,56673,NA,NA,NA,USSLOWS,151,,151,151,151,151,,,,,,,,1,,,1,1,,,,,,,,
"e1f0a66c-6a57-4a49-a3ad-58e59bd42a2b",755,"Factor Performance Attribution",128446,"5236.351541","0.063038","423.360884","425.633624","654.530976","13.629704","312.019519","47.991631","83.795701","0.000000","0.000000",1132623,155795,,1020573,56673,NA,NA,NA,USSLOWS,59,,59,59,59,59,,,,,,,,1,,,1,1,,,,,,,,
"2a038c80-eb1e-4061-aabf-6ce9da5ed85f",748,"Factor Performance Attribution",128446,"1972.160440","0.041708","345.218403","312.664732","620.613340","2.984118","156.358720","23.522513","47.802519","0.000000","0.000000",1159349,133366,,1020573,56673,NA,NA,NA,USSLOWS,60,,60,60,60,60,,,,,,,,,,,,1,,,,,,,,
"2b4de9ff-0791-445d-bb4b-7f63e3fdd767",744,"Factor Performance Attribution",91437,"3348.545685","0.018690","189.859035","19.025419","687.821807","1.386981","129.499673","18.754081","59.955542","0.000000","0.000000",914864,216567,,1020573,56673,NA,NA,NA,USSLOWS,42,,42,42,42,42,,,,,,,,,,,,1,,,,,,,,
"f816010f-95be-4baa-9c23-8b7ada869bcd",713,"Factor Performance Attribution",128446,"3328.021290","0.021113","268.355079","441.531676","658.879455","5.179214","169.027175","34.612591","106.766029","0.000000","0.000000",1366543,314386,,1020573,56673,NA,NA,NA,USSLOWS,131,,131,131,131,131,,,,,,,,1,,,1,1,,,,,,,,
"505e5164-25e9-463f-9496-56ff19ef0ac4",720,"Factor Performance Attribution",128446,"7459.302575","0.052287","302.336126","461.222128","693.131385","19.898486","382.439791","74.054943","209.024237","0.000000","0.000000",1253561,274503,,1020573,56673,NA,NA,NA,USSLOWS,139,,139,139,139,139,,,,,,,,61,,,61,86,,,,,,,,
"5559a67e-1f48-4590-bdf2-264cd9cd13b9",712,"Factor Performance Attribution",NA,"0.000087",0,0,0,"711.180182",0,0,"0.000046","0.000046",0,0,1,0,,1020573,56673,NA,NA,NA,USSLOWS,,,,,,,,,,,,,,,,,,,,,,,,,,
"328b938b-8311-4c53-80c4-fa40fea7546b",712,"Factor Performance Attribution",128446,"265.775114","0.031682","436.426753","21.906538","599.259501","1.439493","110.891085","25.851435","42.995027","0.000000","0.000000",1083404,83255,,1020573,56673,NA,NA,NA,USSLOWS,46,,46,46,46,46,,,,,,,,1,,,1,1,,,,,,,,
"542a2e93-c679-45ce-a160-62b7efce6780",715,"Factor Performance Attribution",128446,"1908.130113","0.021073","340.241263","489.432505","1110.492328","2.522965","72.121506","53.630267","133.485799","0.000000","0.000000",1346873,341667,,1020573,56673,NA,NA,NA,USSLOWS,179,,179,179,179,179,,,,,,,,62,,,62,77,,,,,,,,
"1f035d96-a5e7-48af-b436-027358b63ca4",708,"Factor Performance Attribution",NA,"0.000089",0,0,"0.000000","705.050187","0.000858","0.113423","0.021748","0.021748","0.000000","0.000000",1255,647,,1020573,56673,NA,NA,NA,USSLOWS,,,,,,,,,,,,,,,,,,,,,,,,,,
"d11a9323-614c-4adb-91bf-2c6f1704c88e",682,"Factor Performance Attribution",128446,"2478.913610","0.019806","322.666167","421.181485","610.569020","3.402448","115.910728","36.855456","113.482310","0.000000","0.000000",1346260,350896,,1020573,56673,NA,NA,NA,USSLOWS,156,,156,156,156,156,,,,,,,,,,,,1,,,,,,,,
"dd353646-b2bd-45b9-969d-c8707c44d8e3",674,"Factor Performance Attribution",128446,"341.825089","0.019172","263.864826","302.121112","602.673548","0.881284","46.351586","19.717645","35.206607","0.000000","0.000000",951236,98020,,1020573,56673,NA,NA,NA,USSLOWS,36,,36,36,36,36,,,,,,,,,,,,1,,,,,,,,
"7ad815bf-7ea5-4dbf-98fb-c7491b5d8aa2",412,"Multi-Portfolio Risk",4364,"163.043393",0,0,"0.000000","90.258477","0.099392","5.733848","0.542740","0.557311","0.000000","0.000000",32422,18224,,1020573,56673,NA,NA,NA,USSLOWS,,,12,12,12,12,,,,,,,,2,,,2,6,12,,,,,24,,
"09003dae-cb61-4d7a-a3d7-0f1cb34b88eb",17533,"FI Overview",NA,0,0,0,0,0,0,0,0,0,0,0,110294258,26529212,,1006782,1007943,1009312,1009318,1010360,NA,6,,6,6,6,6,,,,,,,,16,,,16,120,6,,,,,,,
"81e46780-8050-46ee-9282-182aa44ab897",328,"Factor Risk Overview",NA,"0.000081",0,0,"0.000000","0.212174","0.014120","0.893462","0.020153","0.028435","0.000000","0.000000",1773,639,,1020573,56673,NA,NA,NA,USSLOWS,1,,2,2,2,2,,,,,,,,,,,,,1,,,,,4,,
"7fa450c5-f5ab-4964-a112-b28af67c6551",327,"Multi-Portfolio Risk",4364,"0.006468",0,0,"0.000000","91.616876","0.000802","2.318135","0.035725","0.046110","0.000000","0.000000",6913,77,,1020573,56673,NA,NA,NA,USSLOWS,,,12,12,12,12,,,,,,,,,,,,8,12,,,,,24,,
"ad55561e-3adb-4212-a461-88fdad8e333f",17473,"FI Overview",401352,"920772.758859",0,0,"3845.019194","2622.225607","230.422319","2754.534918","1114.592449","3183.959586","0.000000","0.000000",45730779,11280926,,1006782,1007943,1009312,1009318,1010360,NA,13,,13,13,13,13,,,,,,,,9,,,9,120,13,,,,,,,
"41d2a837-2be0-4fdf-84af-ae39a1163446",262,"Factor Risk Overview",12553,"421.732412",0,"1.685629","37.810704","156.402907","0.297716","15.851178","11.656251","11.751015","0.000000","0.000000",114454,42021,,1020573,56673,NA,NA,NA,USSLOWS,,,183,183,183,183,,,,,,,,,,,,,183,,,,,366,,
"10f9e921-a3fe-4111-a797-fd5bfffdedd2",245,"Factor Risk Overview",12553,"79.997219",0,"2.153484","112.928805","234.552727","0.208526","18.971787","10.125008","10.424170","0.000000","0.000000",46376,12703,,1020573,56673,NA,NA,NA,USSLOWS,,,231,231,231,231,,,,,,,,,,,,,231,,,,,462,,
"f380f1aa-de3e-4745-ba31-feb9fcf3f2f4",244,"Factor Risk Overview",NA,"0.026339",0,0,"0.000000","235.127540","0.001535","13.609635","2.131894","2.133520","0.000000","0.000000",25271,130,,1020573,56673,NA,NA,NA,USSLOWS,13,,16,16,16,16,,,,,,,,,,,,,3,,,,,32,,
"e4f39c71-5121-4eae-bb16-b9e60aa1b01a",240,"Multi-Portfolio Risk",4364,"135.578225",0,0,"0.000000","228.106686","0.027647","1.714395","0.657583","0.683501","0.000000","0.000000",29239,13105,,1020573,56673,NA,NA,NA,USSLOWS,,,2,2,2,2,,,,,,,,11,,,11,12,2,,,,,4,,
"9392ce7e-f1b6-446d-a06f-08aef7039a69",240,"Multi-Portfolio Risk",4364,"32.230902",0,0,"0.073677","75.637031","0.037657","0.924140","2.131575","2.871488","0.000000","0.000000",33972,7886,,1020573,56673,NA,NA,NA,USSLOWS,,,48,48,48,48,,,,,,,,1,,,1,12,48,,,,,96,,
"daf86cab-ff9e-48bd-97dd-798ee2a3a6ee",181,"Factor Risk Overview",NA,"0.060313",0,0,"0.000000","52.316227","0.005881","0.355599","0.480592","0.788671","0.000000","0.000000",3535,969,,1020573,56673,NA,NA,NA,USSLOWS,1,,5,5,5,5,,,,,,,,,,,,,4,,,,,10,,
