dtiTransId,duration,batch,totalQueryWeight,CRDTHitAndMatch,MarketDataMakeKeyBreakdown,DtsQueryBreakdown,RemoteServiceQueueWC,RemoteServiceCacheWaitWC,CacheMissBreakdownInMemory,CacheHitBreakdownInMemory,CacheOverheadWallClock,CacheOverheadTimings,CacheMissBreakdownRedis,CacheHitBreakdownRedis,totalCacheHitOrWaits,totalCacheMisses,totalNumNonBatched,portfolio,portfolio2,portfolio3,portfolio4,portfolio5,riskmodel,addPositionsByHoldings,addPositionsByHoldingsWithoutAggregation,"create SinglePortfolioContext",createDatedPortfolioContext,"destroy DatedPortfolioContext","destroy SinglePortfolioContext","get Factor exposures",getAssetFactorRiskContributions,getAssetReturnsByBarraIdsWithPriority,getAssetReturnsByMarketIdsWithPriority,getFactorReturn,getFactorTree,getIndexLevelData,getLightPortfolioWithLastUpdated,getModelDescriptors,getPortfolioAttributeValues,"getPortfolioAttributes list",getPortfolioLastUpdated,"getPortfolioPositions with PositionsReportSpec",getPositionsWithTnC,getPriceHistoryByBarraIdWithPriority,getPriceHistoryByMarketIdsWithPriority,getReportDispatcherReport,searchPortfolioTree,"userAttributeRmiSvc getAttributeProperties","singlePortfolioContextRmiSvc getPortfolioInstrumentReturn"
"1a77fa2c-c1da-4b99-b56e-c5ec8329eb82",3792,"Factor Performance Attribution",,,,,,,,,,,,,784,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"49072ab3-7936-4e7a-a44c-c71f427c30e7",4582,"Return Attribution",,,,,,,,,,,,,1227500,32128,,,,,,,,7,,7,7,7,7,,,,,,,,,,,,,7,1,,,,,,
"b026020a-43ba-4af1-9d24-e638925d9c17",114,"Waddel Factor Trend Analysis",,,,,,,,,,,,,509037,83975,,,,,,,,35,,37,37,37,37,,,,,,,,,,,,,3,,,,,,,34
"63e11e15-f6ec-4f55-acdc-ba33fcdc307e",98,"Waddel Factor Trend Analysis",,,,,,,,,,,,,767475,32468,,,,,,,,35,,37,37,37,37,,,,,,,,,,,,,3,,,,,,,34
"aa012bbb-c631-4e0f-9ce5-d5e4e6e7a71a",3521,"Return Attribution",,,,,,,,,,,,,1810526,536638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"be072d6f-7e4e-482f-8c12-56f75dae7f03",3160,"Fundamental Ratios",,,,,,,,,,,,,637639,784751,,,,,,,,14,,14,14,14,14,,,,,,,,,,,,,7,,,,,,,
"ce3a345d-51e5-40c1-b9dd-0f7c9375f8d6",3088,"Fundamental Ratios",,,,,,,,,,,,,744248,1090059,,,,,,,,28,,28,28,28,28,,,,,,,,,,,,,21,7,,,,,,
"e864a3c2-1d29-4d9a-84b0-77ade82d67b2",1416,"Factor Performance Attribution",,,,,,,,,,,,,1153080,365800,,,,,,,,15,,15,15,15,15,,,,,,,,,,,,,,,,,,,,15
"a511993e-3b99-44d1-aa5f-b4f4b26a8b6e",3734,NoneProvided,,,,,,,,,,,,,0,42245,,,,,,,,,,38248,38278,38231,38193,,,,,,,,,,,,,,,,,,,,
"e8eb0725-c6f3-40de-b8c6-d8087d7d35c6",934,"Factor Performance Attribution",,,,,,,,,,,,,14105,29769,,,,,,,,5,,5,5,5,5,,,,,,,,,,,,,5,1,,,,,,
"1b25ce05-098e-4400-9033-a2ca21c5bb7f",918,"Factor Performance Attribution",,,,,,,,,,,,,639636,227495,,,,,,,,2,,2,2,2,2,,,,,,,,,,,,,,,,,,,,2
"023484b2-aa87-4c96-9dce-a09ef6d949e9",916,"Factor Performance Attribution",,,,,,,,,,,,,14053,3039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"f8ac5a74-28e4-40d6-b34a-07afbe312fa2",864,"Factor Performance Attribution",,,,,,,,,,,,,2967976,1269486,,,,,,,,35,,35,35,35,35,,,,,,,,,,,,,,,,,,,,35
"642921f2-f330-4a4b-b403-562eb82c4c76",765,"Factor Performance Attribution",,,,,,,,,,,,,3473871,41949,,,,,,,,2,,2,2,2,2,,,,,,,,,,,,,,,,,,,,2
"7f6a040e-63ae-4d67-9e04-9ba093601f41",646,"Factor Performance Attribution",,,,,,,,,,,,,84214,60964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"f1ab7ee7-61ec-4493-b634-659d6dee1eea",381,"Factor Performance Attribution",,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"aea8f620-c042-4bdb-9836-9fd85d668249",549,"Factor Performance Attribution",,,,,,,,,,,,,1392768,476125,,,,,,,,9,,9,9,9,9,,,,,,,,,,,,,,,,,,,,9
"458afd92-14e0-466c-9d08-46dfa30c0ee7",253,"Factor Performance Attribution",,,,,,,,,,,,,3340775,705147,,,,,,,,23,,23,23,23,23,,,,,,,,,,,,,,,,,,,,23
"ed65ff29-01f0-427e-8da1-4ebcf4bf892f",491,"Factor Performance Attribution",,,,,,,,,,,,,479360,14084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c65c3506-2738-4959-8f01-8bbc5ecd4ba0",214,"Factor Performance Attribution",,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04ebe881-4cc2-44e3-8786-31dba7bfcdf0",477,NoneProvided,,,,,,,,,,,,,3174490,1677889,,,,,,,,520,,520,520,520,520,,,,,,,,,,,,176,309,282,,,,,,211
"678c1c54-bd0d-4e86-b0f6-f4365f876b4b",263,"Factor Performance Attribution",,,,,,,,,,,,,935035,522306,,,,,,,,14,,14,14,14,14,,,,,,,,,,,,,,,,,,,,14
"5345ad24-6e0d-44fd-b5cd-97a9f4138972",263,"Factor Performance Attribution",,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8a02288b-0bd5-4223-94af-e0ed137282a7",263,"Factor Performance Attribution",,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3deb8fa3-ecad-4ff9-b77a-1f4ffa3b7f4d",2012,"Return Attribution",,,,,,,,,,,,,2031069,1364046,,,,,,,,1,,1,1,1,1,,,,,,,,,,,,,1,1,,,,,,
"d6fb1f1a-25f4-4139-a644-40e4961aa735",2190,NoneProvided,,,,,,,,,,,,,2449196,2295791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5b5109b5-1aed-432a-a990-887916432d3c",1471,NoneProvided,,,,,,,,,,,,,10608510,5171061,,,,,,,,742,,742,742,742,742,,,,,,,,,,,,176,326,238,,,,,,416
