dtiTransId,duration,batch,totalQueryWeight,CRDTHitAndMatch,MarketDataMakeKeyBreakdown,DtsQueryBreakdown,RemoteServiceQueueWC,RemoteServiceCacheWaitWC,CacheMissBreakdownInMemory,CacheHitBreakdownInMemory,CacheOverheadWallClock,CacheOverheadTimings,CacheMissBreakdownRedis,CacheHitBreakdownRedis,totalCacheHitOrWaits,totalCacheMisses,totalNumNonBatched,portfolio,portfolio2,portfolio3,portfolio4,portfolio5,riskmodel,addPositionsByHoldings,addPositionsByHoldingsWithoutAggregation,"create SinglePortfolioContext",createDatedPortfolioContext,"destroy DatedPortfolioContext","destroy SinglePortfolioContext","get Factor exposures",getAssetFactorRiskContributions,getAssetReturnsByBarraIdsWithPriority,getAssetReturnsByMarketIdsWithPriority,getFactorReturn,getFactorTree,getIndexLevelData,getLightPortfolioWithLastUpdated,getModelDescriptors,getPortfolioAttributeValues,"getPortfolioAttributes list",getPortfolioLastUpdated,"getPortfolioPositions with PositionsReportSpec",getPositionsWithTnC,getPriceHistoryByBarraIdWithPriority,getPriceHistoryByMarketIdsWithPriority,getReportDispatcherReport,searchPortfolioTree,"userAttributeRmiSvc getAttributeProperties","singlePortfolioContextRmiSvc getPortfolioInstrumentReturn"
"04510529-cb73-4872-ba29-cac69cd5e71e",165,"HP Universe Returns",84303,"33753.548117","0.040802","272.643411","0.000000","83.595322","71.809451","504.808065","66.006314","281.309348","0.000000","0.000000",938880,384978,,1014408,NA,NA,NA,NA,USSLOWL,67,,67,67,67,67,,,,,,,,,,,,,,,,,,,,67
"ac211af7-fe90-46fe-868b-9913cd391596",131,"HP Universe VaR",8941,"417.360586","0.004658",0,"0.000000","0.152968","0.717404","2.004614","36.530151","36.579277","0.000000","0.000000",174806,75385,,1014408,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
"7806f5e4-68af-4a88-accb-5a443518047b",118,"Factor Exposure Overview",NA,0,0,0,0,"0.000000","0.009030",0,0,0,0,0,0,2,,1014408,NA,NA,NA,NA,USSLOWL,,,,,,,,,,,,,,,,,,,,,,,,,,
"f00abd5d-d52e-4d39-8759-5faff4f62414",213,"MSCI Index Summary 2",418,0,0,0,"8.444561","0.000000","0.310320","0.002096","1.540495","1.860763","0.000000","0.000000",148,627,,1014408,1020573,NA,NA,NA,NA,,,209,209,209,209,,,,,,,,,,,209,,,,,,,,,
"a633739a-be53-48a7-a9ec-945879aa51ab",176,"MSCI Index Summary 2",209,"0.005287",0,0,"0.000000","0.000000","0.100230","0.073311","0.654350","0.879402","0.000000","0.000000",149,418,,1014408,NA,NA,NA,NA,NA,,,153,153,153,153,,,,,,,,,,,,,,,,,,,,
"91673ba8-1d1b-4154-bc7f-a28a5837ce2a",236,"HP Universe Exposures",19502,"34781.137942",0,0,"0.000000","64.986065","61.383373","253.528568","4.014640","4.072185","0.000000","0.000000",251488,155357,,1014408,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,21,,,,,,,,
"80dddd73-02f1-49b6-bd9b-64c1eeb4a992",125,"Factor Exposure Overview",NA,0,0,0,0,"0.000000","0.009862",0,0,0,0,0,0,2,,1022856,NA,NA,NA,NA,USSLOWL,,,,,,,,,,,,,,,,,,,,,,,,,,
"83ff47bf-29b4-495e-93c6-ca5fe72f2be9",192,"MSCI Index Summary 2",1463,"0.008929",0,0,"2.624609","0.000000","0.017511",0,"3.168524","7.068222","0.000000","0.000000",0,2809,,1011920,1012310,1022856,23299,26444,NA,,,796,796,796,796,,,,,,,,,,,118,,,,,,,,,
"da326992-bb4c-44e3-9ef9-7e7b63051e77",120,"Momentum Quartiles",NA,"24520.984217",0,0,0,"57.285927","24.279445","58.773718","6.829736","12.850835","0.000000","0.000000",297839,237167,,40424,NA,NA,NA,NA,USSLOWL,,,,,,,,,,,,,,,,,,,,,,,,,,
"65ddeeeb-5018-4eab-a93a-08d18e8d6c8d",535,"MSCI Index Summary 2",3185,"0.002961",0,0,"19.509588","33.794350","0.040167","0.001906","4.457806","7.201835","0.000000","0.000000",369,3666,,1011920,1012310,1022856,23299,26444,NA,,,455,455,455,455,,,,,,,,,,,221,,,,,,,,,
"3f96f6b8-9c4c-4ddf-bbf4-21ff32eb0aee",317,"HP Universe Returns",NA,0,"0.006396","5.234069","0.000000","0.000000","0.010954","0.000598","0.014843","0.014843","0.000000","0.000000",250,145,,1011920,1012310,1022856,23299,26444,USSLOWL,,,,,,,,,,,,,,,,,,,,,,,,,,
"b890242b-3845-4aca-ba97-07e894fe040c",244,"HP Universe Returns",726531,"6152.896782","0.016825","262.561587","0.000000","31.518543","15.825579","104.938665","100.042459","259.238763","0.000000","0.000000",949203,377275,,1011920,1012310,1022856,23299,26444,USSLOWL,67,,67,67,67,67,,,,,,,,,,,,,,,,,,,,67
"653cd382-23fb-42d7-b9ad-0a0fc8af1510",239,"HP Universe Exposures",171192,"315357.850929",0,0,"0.000000","23.760231","10.186383","38.399039","18.190829","19.662147","0.000000","0.000000",553636,383286,,1011920,1012310,1022856,23299,26444,NA,,,,,,,,,,,,,,,,,19,17,,,,,,,,
"73da4f10-72b3-4940-a4ed-d4293033cb7d",204,"HP Universe Exposures",171192,"93923.141376",0,0,"0.000000","3.773280","2.811484","39.646483","16.006457","20.481428","0.000000","0.000000",837750,587685,,1011920,1012310,1022856,23299,26444,NA,,,,,,,,,,,,,,,,,19,17,,,,,,,,
"48f16482-73e5-40f1-8592-3d3c6e910d52",165,"Factor Risk Overview [TK]",444,"432.448790",0,"0.034517","3.396571","49.795701","1.155347","4.724308","7.348580","7.417120","0.000000","0.000000",37434,24414,,161850493,NA,NA,NA,NA,GEMLTL,99,,279,279,279,279,,,,,,,,,,,1,3,279,,,,,,,
