dtiTransId,duration,batch,totalQueryWeight,CRDTHitAndMatch,MarketDataMakeKeyBreakdown,DtsQueryBreakdown,RemoteServiceQueueWC,RemoteServiceCacheWaitWC,CacheMissBreakdownInMemory,CacheHitBreakdownInMemory,CacheOverheadWallClock,CacheOverheadTimings,totalCacheHitOrWaits,totalCacheMisses,portfolio,portfolio2,portfolio3,portfolio4,portfolio5,riskmodel,addPositionsByHoldings,create SinglePortfolioContext,createDatedPortfolioContext,destroy DatedPortfolioContext,destroy SinglePortfolioContext,getLightPortfolioWithLastUpdated,getPortfolioAttributes list,getPortfolioLastUpdated,getPortfolioPositions with PositionsReportSpec,getPositionsWithTnC,searchPortfolioTree,singlePortfolioContextRmiSvc getPortfolioInstrumentReturn
2ea3f128-6466-4688-af6f-654425813d5a,6405,Brinson Performance Attribution_ur,NA,2728276.359,0.185917,0,0,5148.903723,310.100999,835.161438,5578.951321,8607.361262,16321316,12148436,,,,,,,,,,,,,,,,,,
2d32e084-fab6-43c5-9454-de907f5cdc42,5259,Brinson Performance Attribution_ur,NA,2730894.547,0.197632,0,0,114.359194,169.629332,583.410208,3737.084002,7619.966012,13839530,10143160,1092793,NA,NA,NA,NA,NA,4,4,4,4,4,,,,4,3,,
8a3e5c7b-a8e9-4b20-ba57-38672a6ade62,13668,FI Overview,395271,7529.260763,0,0,4501.254627,10117.28056,711.391901,20085.81585,2313.924632,6243.048788,62786542,3414143,1006782,1007943,1009312,1009318,1010360,NA,,,,,,,35,121,,,,
8d1e006d-4635-46fe-b55c-7bcd65c18786,10980,FI Overview,401352,510028.8989,0,0,2937.89301,801.04692,74.71993,1215.101935,2124.971261,4000.480645,65891207,8070396,1006782,1007943,1009312,1009318,1010360,NA,48,48,48,48,48,20,20,30,48,,,
11c841a1-73a9-43fc-bf5a-5df41261bc76,8331,FI Overview,398669,1573251.833,0,0,1825.965308,9242.349358,1289.181261,17302.3212,1971.557326,10952.55249,53140745,11187489,1006782,1007943,1009312,1009318,1010360,NA,48,48,48,48,48,,58,120,48,,,
b8b0c85c-d827-4da8-8809-74ea4d7da78a,2574,Brinson Performance Attribution_ur,NA,2726680.206,0.16256,0,0,377.141312,79.48051,481.567483,1912.125674,3945.645293,11846978,7122530,1092793,NA,NA,NA,NA,NA,,,,,,,,,,,,
c1d91a93-8d9a-4793-bca9-abf590c6b1fb,7477,FI Overview,401352,828337.711,0,0,3616.093479,4999.454215,896.322491,12971.61805,1898.630926,10373.21505,54901991,7912696,1006782,1007943,1009312,1009318,1010360,NA,32,32,32,32,32,,25,80,32,32,,
1a18c1a7-310c-44da-9016-41820d6d8f0b,9342,FI Overview,401352,441623.188,0,0,1081.948022,2591.847481,489.113595,7273.448796,1808.314431,6306.847412,49971069,7611107,,,,,,,,,,,,,,,,,,
b8be13fd-92fc-4d50-b623-4fb30f50b78b,4644,Brinson Performance Attribution (Beta),NA,1230652.89,0.70035,0,10.985198,31.129266,26.491244,464.552115,1675.756446,1679.087497,8108890,5401753,162921713,NA,NA,NA,NA,NA,125,125,125,125,125,,,,125,,,
07a09610-0595-49a9-988c-b4a900b0203d,14526,FI Overview,401352,1105148.7,0,0,4678.017996,5942.622064,310.54381,5168.137154,1472.305828,3628.227015,65659414,11395097,1006782,1007943,1009312,1009318,1010360,NA,54,54,54,54,54,14,14,120,54,,,
14c92186-ec59-473b-a572-2431c02cc67b,11541,FI Overview,NA,497605.0345,0,0,0,8572.929351,1145.255511,20266.10377,1367.226952,7277.071548,106084681,16863880,1006782,1007943,1009312,1009318,1010360,NA,45,45,45,45,45,,57,121,45,,,
